Stomach cancer	stomach_cancer
Colon cancer	colon_cancer
Rectal cancer	rectal_cancer
Colon polyps	colon_polyps
Pancreatic cancer	pancreatic_cancer
Lung cancer	lung_cancer
Melanoma	melanoma
Non-melanoma skin cancer	non-melanoma_skin_cancer
Lipoma	lipoma
Breast cancer	breast_cancer
Breast fibroadenoma	breast_fibroadenoma
Cervical cancer	cervical_cancer
Endometrial cancer	endometrial_cancer
Uterine fibroids	uterine_fibroids
Ovarian cancer	ovarian_cancer
Prostate cancer	prostate_cancer
Bladder cancer	bladder_cancer
Kidney cancer	kidney_cancer
Thyroid cancer	thyroid_cancer
Non-Hodgkin lymphoma	non-hodgkin_lymphoma
Leukemia	leukemia
Polycythemia vera	polycythemia_vera
Essential thrombocythemia	essential_thrombocythemia
Neurofibromatosis	neurofibromatosis
Brain cancer	brain_cancer
Thyroid nodule(s)	thyroid_nodule
Graves' disease	graves_disease
Hypothyroidism	hypothyroidism
Hashimoto's thyroiditis	hashimotos_thyroiditis
Diabetes mellitus; type 1	diabetes_mellitus_type_1
Diabetes mellitus; type 2	diabetes_mellitus_type_2
Primary hyperparathyroidism	primary_hyperparathyroidism
Growth hormone deficiency	growth_hormone_deficiency
Polycystic ovary syndrome (PCOS)	polycystic_ovary_syndrome
Lactose intolerance	lactose_intolerance
High cholesterol (hypercholesterolemia)	high_cholesterol
High triglycerides (hypertriglyceridemia)	high_triglycerides
Alpha 1-antitrypsin deficiency	alpha_1-antitrypsin_deficiency
Gout	gout
Hemochromatosis	hemochromatosis
Cystic fibrosis	cystic_fibrosis
Porphyria	porphyria
Gilbert syndrome	gilbert_syndrome
Iron deficiency anemia	iron_deficiency_anemia
Pernicious anemia (a.k.a. Addison-Biermer anemia)	pernicious_anemia
Folate deficiency anemia	folate_deficiency_anemia
Hereditary spherocytosis	hereditary_spherocytosis
G6PD deficiency	g6pd_deficiency
Sickle cell trait (carrier)	sickle_cell_trait
Sickle cell anemia	sickle_cell_anemia
Autoimmune hemolytic anemia	autoimmune_hemolytic_anemia
Hemophilia	hemophilia
Von Willebrand disease	von_willebrand_disease
Idiopathic thrombocytopenic purpura (ITP)	idiopathic_thrombocytopenic_purpura
Hereditary thrombophilia (includes Factor V Leiden and Prothrombin G20210A)	hereditary_thrombophilia
Other thrombophilia (includes antiphospholipid syndrome)	other_thrombophilia
Recurrent Sleep Paralysis	recurrent_sleep_paralysis
Parkinson's Disease	parkinsons_disease
Essential tremor	essential_tremor
Huntington's Disease	huntingtons_disease
Restless Legs Syndrome	restless_legs_syndrome
Spinal muscular atrophy	spinal_muscular_atrophy
Amyotrophic lateral sclerosis (ALS)	amyotrophic_lateral_sclerosis
Cluster headaches	cluster_headaches
Chronic tension headaches (15+ days per month; at least 6 months)	chronic_tension_headaches
Multiple sclerosis (MS)	multiple_sclerosis
Cerebral palsy	cerebral_palsy
Epilepsy	epilepsy
Migraine with aura	migraine_with_aura
Migraine without aura	migraine_without_aura
Narcolepsy	narcolepsy
Arnold-Chiari malformation	arnold-chiari_malformation
Trigeminal neuralgia	trigeminal_neuralgia
Bell's palsy	bells_palsy
Carpal tunnel syndrome	carpal_tunnel_syndrome
